lat,lon,yaw,year,month
40.021576049,-75.0664521687,312.503,2014,05
40.0375552525,-75.2133300462,237.693,2014,05
39.987138074,-75.116040758,231.725,2014,05
39.996517076,-75.098183753,100.682,2014,05
39.964733069,-75.137482763,14.546,2014,06
39.956065067,-75.141663764,324.747,2014,05
39.9456003612,-75.1900635498,48.917,2014,06
40.0320156358,-75.0848164139,244.282,2014,06
39.932663061,-75.175518774,98.93,2014,05
40.0942400486,-75.0389152965,43.28,2014,07
40.0563325113,-75.0475014068,217.574,2014,06
40.0927562694,-75.0209602588,61.27,2014,07
39.9897574397,-75.0752792711,317.491,2014,06
39.9591477549,-75.2011280317,179.674,2014,05
40.1078422544,-75.0273200911,57.322,2014,07
39.9801814247,-75.2198975778,114.257,2014,06
40.0676137181,-75.0857572132,304.06,2014,07
40.092319097,-75.060672747,4.93,2014,07
39.9886431426,-75.159049787,10.322,2014,06
39.9872239599,-75.1842021094,280.792,2014,05
40.046066086,-75.104622758,32.066,2014,05
39.9780100576,-75.1637980943,280.727,2014,06
39.9366350527,-75.2270714388,316.962,2014,05
40.0310538279,-75.2279297896,327.39,2014,05
40.0696469341,-75.2354362925,315.953,2014,07
40.0109224385,-75.2070674061,232.064,2014,06
40.0705042141,-75.1636171442,306.803,2014,07
40.0341508598,-75.0645145871,129.372,2014,05
39.983618606,-75.1675753407,190.173,2014,05
39.9249559044,-75.1549263854,100.195,2014,05
40.0677030165,-75.1856744175,36.718,2014,07
40.0524787163,-75.1879521294,125.647,2014,05
40.0435360667,-75.0202068696,85.223,2014,06
40.0663911063,-75.08387641,346.618,2014,07
40.0058053738,-75.0799175523,261.115,2014,05
40.0703548335,-74.9857237433,145.874,2014,07
40.1157299694,-75.0281583348,106.66,2014,07
40.0526326636,-75.089293181,127.65,2014,05
40.0162388238,-75.1753671619,51.947,2014,05
40.094401101,-74.961636716,41.738,2014,07
40.0642107658,-75.0775183844,148.015,2014,07
39.9088992495,-75.1676641037,10.297,2014,05
40.0209795832,-75.0543906483,235.747,2014,05
40.0610873162,-75.1849437979,37.129,2014,05
39.9300527331,-75.1464525792,190.289,2014,05
40.098266101,-74.970014718,55.293,2014,07
39.9703963806,-75.1467723334,92.454,2014,06
40.038354083,-75.132968766,97.579,2014,05
40.0862936502,-75.0277981492,307.152,2014,07
39.9424704416,-75.1791777738,10.391,2014,05
40.0435270763,-75.0591170817,306.6,2014,05
40.0350374365,-75.018505249,232.06,2014,06
40.0079154399,-75.2017093244,294.336,2014,06
39.998394075,-75.132282764,9.905,2014,05
39.9857610173,-75.2324852261,254.911,2014,05
39.9833067202,-75.2556382539,59.74,2014,05
39.984544071,-75.182979779,219.647,2014,05
39.980160067,-75.262050804,239.375,2014,05
39.966636069,-75.146062766,120.68,2014,06
39.9154267251,-75.2210855431,201.751,2014,06
39.976776068,-75.228093793,122.642,2014,05
39.9622067707,-75.1603618555,100.548,2014,05
40.0568466068,-75.0335314562,104.342,2014,05
39.921931058,-75.200032781,256.628,2014,06
40.0223824035,-75.1759724186,37.63,2014,05
40.0600345145,-75.168757128,217.073,2014,05
40.0123212239,-75.0556280445,146.689,2014,05
40.0519004427,-75.0479628866,62.714,2014,05
39.9797162224,-75.1770867079,281.131,2014,06
40.0231621063,-75.1356683002,64.563,2014,06
39.953136064,-75.204108784,99.511,2014,06
40.1312879585,-75.0191075491,337.886,2014,07
39.9819061938,-75.1007996676,63.718,2014,06
39.9097203979,-75.2321243376,39.007,2014,05
40.0006099107,-75.1638197127,256.682,2014,05
39.8896084758,-75.2315963775,266.432,2014,06
39.9435148443,-75.2352361329,227.839,2014,05
40.0268415147,-75.1141276559,79.373,2014,06
40.079525089,-75.209111793,3.677,2014,07
40.0450107629,-75.1901362722,38.741,2014,05
40.024963081,-75.11452176,287.001,2014,05
39.9945888746,-75.1851092605,10.912,2014,05
39.9885702536,-75.1705465583,327.834,2014,06
40.0916492377,-74.9775526548,137.902,2014,07
40.041979738,-75.1059701366,133.513,2014,05
39.9339374343,-75.1819471771,281.174,2014,05
39.9795803772,-75.2182812187,115.228,2014,06
40.117660271,-74.9834829188,227.53,2014,07
39.9609496742,-75.2325904977,278.405,2014,05
39.91343725,-75.1375007899,12.475,2014,05
39.9464665003,-75.2217778982,49.043,2014,05
39.9807665205,-75.1040792344,239.681,2014,06
40.0293562052,-75.1285913498,78.903,2014,05
39.9651623502,-75.1706409447,9.79,2014,05
39.954652066,-75.149511767,188.14,2014,05
40.0470285154,-75.117258741,207.864,2014,05
40.0054384582,-75.1580966237,276.367,2014,05
39.8909040137,-75.2271556772,78.254,2014,06
40.0494958739,-74.9959718643,255.045,2014,06
40.0118047128,-75.1100467736,189.041,2014,05
40.0715530783,-75.2351697954,261.175,2014,07
40.0252711254,-75.1270390084,259.357,2014,06
39.9181904488,-75.2448531844,228.177,2014,06
39.9675371012,-75.1456570328,10.772,2014,05
39.9392576341,-75.2198977653,136.339,2014,05
39.8940214185,-75.2286688138,117.181,2014,06
39.9526233011,-75.2427155162,7.484,2014,05
39.972957069,-75.171005775,269.512,2014,06
40.058425085,-75.189424786,278.276,2014,05
39.9560426052,-75.2098507149,187.924,2014,05
40.0286695653,-75.0672540965,126.476,2014,05
39.9747501128,-75.1499274855,97.532,2014,06
40.0950539748,-75.0629630936,268.359,2014,07
39.9890519097,-75.2355066544,153.18,2014,05
39.9887620399,-75.1071820194,55.185,2014,05
39.944860064,-75.16222977,98.52,2014,05
39.926440061,-75.145072764,168.176,2014,06
39.949663065,-75.166731772,278.203,2014,05
39.9877300007,-75.102712723,235.396,2014,05
39.9423385926,-75.1784336821,279.311,2014,05
40.0194222998,-75.0558628734,235.855,2014,05
39.9677079709,-75.1616337045,319.708,2014,05
40.0312773606,-75.0539250443,227.842,2014,06
40.1031786101,-75.0256695002,45.055,2014,07
